frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.Protocol,data.len,data.data,_ws.col.Info
1,0.000000000,0.000000000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
2,1.011231000,1.011231000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
3,2.027679000,1.016448000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
4,3.039876000,1.012197000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
5,4.055292000,1.015416000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
6,5.061913000,1.006621000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
